County,Agency,Sworn,Reserve,Dispatcher,Total,Year,Snapshot,SourceFile,Full-Time Sworn
LOS ANGELES COUNTY,LOS ANGELES PD,9931.0,435,562,10928,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LOS ANGELES PORT PD,122.0,3,6,131,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LOS ANGELES SCHOOL PD,354.0,0,0,354,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LOS ANGELES WORLD AIRPORTS PD,498.0,0,0,498,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,MANHATTAN BEACH PD,60.0,5,0,65,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,MONROVIA PD,46.0,5,9,60,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,MONTEBELLO PD,67.0,18,13,98,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,MONTEBELLO UNIFIED SCHOOL DIST,3.0,2,0,5,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,MONTEREY PARK PD,67.0,27,13,107,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,PALOS VERDES ESTATES PD,23.0,18,10,51,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,PASADENA CITY CCD PD,7.0,1,4,12,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,PASADENA PD,232.0,20,32,284,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,POMONA PD,149.0,12,27,188,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,REDONDO BEACH PD,87.0,15,15,117,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SAN FERNANDO PD,28.0,19,6,53,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SAN GABRIEL PD,52.0,6,4,62,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SAN MARINO PD,25.0,1,7,33,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SANTA MONICA CCD PD,12.0,0,4,16,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SANTA MONICA PD,202.0,0,12,214,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SIERRA MADRE PD,15.0,6,4,25,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SIGNAL HILL PD,35.0,2,8,45,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SOUTH BAY REG PUB COMM AUTH,0.0,0,50,50,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SOUTH GATE PD,68.0,3,9,80,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,SOUTH PASADENA PD,34.0,17,9,60,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,TORRANCE PD,209.0,0,23,232,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,UC LOS ANGELES PD,53.0,0,13,66,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,UNION PACIFIC RAILROAD,59.0,0,0,59,2013,Jan,01-2013_clean.csv,
